|R01|00000000000000000001|S|IF     |SWEDA               |????????????????????|01.00.01  |20110215|182942|003|10793118000177|0751990400114 |10793118000178|00000000ISENTO|00000000ISENTO|T2TI.COM                                |T2TI_PAF_ECF                            |1.0.0     |9e107d9d372bb6826bd81d3542a419d6|20110101|20111231|0105
|R02|00000000000000000001|S|????????????????????|01|000000|000007|000001|20110207|20110214|140905|10,70| 
|R03|00000000000000000001|S|????????????????????|01|000000|T04T100|0,00
|R03|00000000000000000001|S|????????????????????|01|000000|T04T100|0,00
|R03|00000000000000000001|S|????????????????????|01|000000|T05T120|0,00
|R03|00000000000000000001|S|????????????????????|01|000000|T05T120|0,00
|R03|00000000000000000001|S|????????????????????|01|000001|AS     |0,00
|R03|00000000000000000001|S|????????????????????|01|000001|AT     |0,00
|R03|00000000000000000001|S|????????????????????|01|000001|Can-S  |0,00
|R03|00000000000000000001|S|????????????????????|01|000001|Can-T  |0,00
|R03|00000000000000000001|S|????????????????????|01|000001|DS     |0,00
|R03|00000000000000000001|S|????????????????????|01|000001|DT     |0,00
|R03|00000000000000000001|S|????????????????????|01|000001|F1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000001|FS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000001|I1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000001|IS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000001|N1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000001|NS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000001|OPNF   |0,00
|R03|00000000000000000001|S|????????????????????|01|000001|T01T170|1,50
|R03|00000000000000000001|S|????????????????????|01|000001|T02T050|0,00
|R03|00000000000000000001|S|????????????????????|01|000001|T03T070|0,00
|R03|00000000000000000001|S|????????????????????|01|000001|T04T100|0,00
|R03|00000000000000000001|S|????????????????????|01|000001|T05T120|0,00
|R03|00000000000000000001|S|????????????????????|01|000002|AS     |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|AS     |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|AT     |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|AT     |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|Can-S  |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|Can-S  |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|Can-T  |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|Can-T  |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|DS     |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|DS     |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|DT     |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|DT     |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|F1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|F1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|FS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|FS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|I1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|I1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|IS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|IS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|N1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|N1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|NS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|NS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|OPNF   |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|OPNF   |0,00
|R03|00000000000000000001|S|????????????????????|01|000002|T01T170|0,00
|R03|00000000000000000001|S|????????????????????|01|000002|T01T170|0,00
|R03|00000000000000000001|S|????????????????????|01|000002|T02T050|0,00
|R03|00000000000000000001|S|????????????????????|01|000002|T02T050|0,00
|R03|00000000000000000001|S|????????????????????|01|000002|T03T070|0,00
|R03|00000000000000000001|S|????????????????????|01|000002|T03T070|0,00
|R03|00000000000000000001|S|????????????????????|01|000002|T04T100|0,00
|R03|00000000000000000001|S|????????????????????|01|000002|T04T100|0,00
|R03|00000000000000000001|S|????????????????????|01|000002|T05T120|0,00
|R03|00000000000000000001|S|????????????????????|01|000002|T05T120|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|00S0007|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|00S0700|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|00S0700|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|00S0700|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|00S700 |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|00T07  |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|00T0700|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|00T0700|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|00T0700|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|00T700 |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|01S0012|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|01S1200|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|01S1200|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|01S1200|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|01S1200|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|01T12  |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|01T1200|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|01T1200|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|01T1200|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|01T1200|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|02S0017|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|02S1700|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|02S1700|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|02S1700|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|02S1700|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|02T17  |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|02T1700|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|02T1700|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|02T1700|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|02T1700|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|03S0025|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|03S2500|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|03S2500|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|03S2500|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|03S2500|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|03T25  |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|03T2500|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|03T2500|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|03T2500|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|03T2500|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|04S0008|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|04S0800|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|04S0800|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|04S0800|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|04S800 |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|04T08  |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|04T0800|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|04T0800|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|04T0800|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|04T800 |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|05S0013|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|05S1300|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|05S1300|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|05S1300|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|05S1300|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|05T13  |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|05T1300|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|05T1300|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|05T1300|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|05T1300|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|06T18  |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|06T1800|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|06T1800|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|06T1800|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|06T1800|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|07T26  |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|07T2600|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|07T2600|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|07T2600|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|07T2600|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|08T0545|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|08T0545|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|08T545 |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|08T545 |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|08T5450|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|09T1087|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|09T1087|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|09T1087|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|09T1087|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|09T1087|0,00
|R03|00000000000000000001|S|????????????????????|01|000019|AS     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|AS     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|AS     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|AS     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|AS     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|AT     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|AT     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|AT     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|AT     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|AT     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|Can-S  |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|Can-S  |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|Can-S  |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|Can-S  |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|Can-S  |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|Can-T  |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|Can-T  |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|Can-T  |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|Can-T  |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|Can-T  |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|DS     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|DS     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|DS     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|DS     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|DS     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|DT     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|DT     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|DT     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|DT     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|DT     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|F1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|F1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|F1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|F1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|F1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|FS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|FS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|FS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|FS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|FS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|I1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|I1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|I1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|I1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|I1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|IS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|IS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|IS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|IS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|IS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|N1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|N1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|N1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|N1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|N1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|NS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|NS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|NS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|NS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|NS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|OPNF   |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|OPNF   |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|OPNF   |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|OPNF   |0,00
|R03|00000000000000000001|S|????????????????????|01|000019|OPNF   |0,00
|R04|00000000000000000001|S|????????????????????|01|000001|000003|20110207|0,70|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000002|000004|20110207|0,70|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000003|000005|20110207|2,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000004|000006|20110207|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000005|000007|20110207|7,30|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000006|000011|20110214|1,50|0,00|V|0,00|V|1,50|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000032|000072|20110210|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000033|000074|20110210|45,70|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000034|000075|20110210|77,70|0,00|V|0,00|V|77,70|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000035|000076|20110210|30,00|0,00|V|0,00|V|30,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000035|000201|20110204|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000036|000079|20110213|30,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000036|000202|20110204|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000037|000203|20110204|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000038|000204|20110204|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000039|000205|20110204|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000040|000209|20110214|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000041|000210|20110214|19,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000042|000211|20110214|4,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000043|000212|20110214|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000044|000213|20110214|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000045|000214|20110214|1,50|0,00|V|0,00|V|1,50|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000046|000215|20110214|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000047|000217|20110214|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|????????????????????|01|000048|000218|20110214|5,80|0,00|V|0,00|V|5,80|N|0,00|D|                                        |00000000000000
|R05|00000000000000000001|S|????????????????????|01|000003|000001|001|0001170000005 |BORRACHA PLASTICA - TK PEQUENA                                                                      |1,00|UND|0,70|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000004|000002|001|0001170000005 |BORRACHA PLASTICA - TK PEQUENA                                                                      |1,00|UND|0,70|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000004|000002|002|0001180000002 |BORRACHA PLASTICA - TK GRANDE                                                                       |1,00|UND|2,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000005|000003|001|0001180000002 |BORRACHA PLASTICA - TK GRANDE                                                                       |1,00|UND|2,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000007|000005|001|0001234567898 |FITA PAPEL CREPE                                                                                    |1,00|UND|5,80|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000007|000005|002|0001190000009 |BORRACHA PLASTICA - TK NEON                                                                         |1,00|UND|1,50|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000011|000006|001|0001190000009 |BORRACHA PLASTICA - TK NEON                                                                         |1,00|UND|1,50|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000072|000032|001|3011010827133 |TECIDO EM HELANCA                                                                                   |1,00|KG |10,00|0,00|0,00|0,00|03T0700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000074|000033|001|3011010827133 |TECIDO EM HELANCA                                                                                   |1,00|KG |10,00|0,00|0,00|0,00|03T0700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000074|000033|002|0312011604499 |SULFATO DE ALUMINIO                                                                                 |1,00|UND|35,00|0,00|0,00|0,00|03T0700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000074|000033|003|0001170000005 |BORRACHA PLASTICA - TK PEQUENA                                                                      |1,00|UND|0,70|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000075|000034|001|3011010827133 |TECIDO EM HELANCA                                                                                   |1,00|KG |10,00|0,00|0,00|0,00|03T0700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000075|000034|002|0312011604499 |SULFATO DE ALUMINIO                                                                                 |1,00|UND|35,00|0,00|0,00|0,00|03T0700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000075|000034|003|0001170000005 |BORRACHA PLASTICA - TK PEQUENA                                                                      |1,00|UND|0,70|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000075|000034|004|0001180000002 |BORRACHA PLASTICA - TK GRANDE                                                                       |1,00|UND|2,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000075|000034|005|0507021132142 |BUQUE DE ROSAS                                                                                      |1,00|UND|30,00|0,00|0,00|0,00|02T1200| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000076|000035|001|0507021132142 |BUQUE DE ROSAS                                                                                      |1,00|UND|30,00|0,00|0,00|0,00|02T1200| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000079|000036|001|0507021132142 |BUQUE DE ROSAS                                                                                      |1,00|UND|30,00|0,00|0,00|0,00|02T1200| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000201|000035|001|3011010827133 |TECIDO EM HELANCA                                                                                   |1,00|KG |10,00|0,00|0,00|0,00|03T0700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000202|000036|001|0312011604499 |SULFATO DE ALUMINIO                                                                                 |1,00|UND|35,00|0,00|0,00|0,00|03T0700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000203|000037|001|0001170000005 |BORRACHA PLASTICA - TK PEQUENA                                                                      |1,00|UND|0,70|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000204|000038|001|0001180000002 |BORRACHA PLASTICA - TK GRANDE                                                                       |1,00|UND|2,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000205|000039|001|0001180000002 |BORRACHA PLASTICA - TK GRANDE                                                                       |1,00|UND|2,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000209|000040|001|2607020908507 |ACUCAREIRO INOX                                                                                     |1,00|UND|0,00|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000210|000041|001|1711030914531 |ACIDO CLORIDICO PA                                                                                  |1,00|UND|19,50|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000211|000042|001|0001190000009 |BORRACHA PLASTICA - TK NEON                                                                         |1,00|UND|1,50|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000211|000042|002|0001190000009 |BORRACHA PLASTICA - TK NEON                                                                         |1,00|UND|1,50|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000211|000042|003|0001190000009 |BORRACHA PLASTICA - TK NEON                                                                         |1,00|UND|1,50|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000212|000043|001|0001190000009 |BORRACHA PLASTICA - TK NEON                                                                         |1,00|UND|1,50|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000213|000044|001|0001190000009 |BORRACHA PLASTICA - TK NEON                                                                         |1,00|UND|1,50|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|????????????????????|01|000214|000045|001|0001190000009 |BORRACHA PLASTICA - TK NEON                                                                         |1,00|UND|1,50|0,00|0,00|0,00|01T1700| |0,00|0,00|0,00|A|T|3|2
